 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1024.0 1024.0  0.0    0.0    8192.0   2841.5   78260.0    46275.8   20224.0 19519.2 2816.0 2632.4     77    0.277  250    18.486   18.763
1024.0 1024.0  0.0    0.0    8192.0   5177.1   78260.0    46275.8   20224.0 19519.2 2816.0 2632.4     77    0.277  250    18.486   18.763
1024.0 1024.0  0.0    0.0    8192.0   960.8    78260.0    46487.3   20224.0 19519.2 2816.0 2632.4     77    0.277  251    18.599   18.876
1024.0 1024.0  0.0    0.0    8192.0   718.8    78260.0    46341.1   20224.0 19519.2 2816.0 2632.4     77    0.277  252    18.710   18.987
1024.0 1024.0  0.0    0.0    8192.0   2838.9   78260.0    46341.1   20224.0 19519.2 2816.0 2632.4     77    0.277  252    18.710   18.987
1024.0 1024.0  0.0    0.0    8192.0   4517.7   78260.0    46341.1   20224.0 19519.2 2816.0 2632.4     77    0.277  252    18.710   18.987
1024.0 1024.0  0.0    0.0    8192.0   6317.5   78260.0    46341.1   20224.0 19519.2 2816.0 2632.4     77    0.277  252    18.710   18.987
1024.0 1024.0 358.0   0.0    8192.0   270.7    78260.0    46341.1   20224.0 19519.6 2816.0 2632.4     78    0.280  252    18.710   18.990
1024.0 1024.0  0.0    0.0    8192.0   2347.6   78260.0    46700.3   20224.0 19519.6 2816.0 2632.4     78    0.280  253    18.828   19.108
1024.0 1024.0  0.0    0.0    8192.0   4417.6   78260.0    46700.3   20224.0 19519.6 2816.0 2632.4     78    0.280  253    18.828   19.108
1024.0 1024.0  0.0    0.0    8192.0   6448.0   78260.0    46700.3   20224.0 19519.6 2816.0 2632.4     78    0.280  253    18.828   19.108
1024.0 1024.0  0.0    0.0    8192.0   2075.6   78260.0    46891.7   20224.0 19522.7 2816.0 2632.4     78    0.280  254    18.950   19.230
1024.0 1024.0  0.0    0.0    8192.0   5019.0   78260.0    46891.7   20224.0 19522.7 2816.0 2632.4     78    0.280  255    18.950   19.230
1024.0 1024.0  0.0    0.0    8192.0   1832.0   79200.0    47519.5   20224.0 19522.7 2816.0 2632.4     78    0.280  255    19.072   19.352
1024.0 1024.0  0.0    0.0    8192.0   4582.2   79200.0    47519.5   20224.0 19522.7 2816.0 2632.4     78    0.280  255    19.072   19.352
1024.0 1024.0  0.0    0.0    8192.0   6015.4   79200.0    47519.5   20224.0 19522.7 2816.0 2632.4     78    0.280  255    19.072   19.352
1024.0 1024.0  0.0    0.0    8192.0   1799.2   79200.0    47574.7   20224.0 19522.7 2816.0 2632.4     78    0.280  256    19.189   19.469
1024.0 1024.0  0.0    0.0    8192.0   400.9    79608.0    47763.0   20224.0 19522.7 2816.0 2632.4     78    0.280  257    19.308   19.588
1024.0 1024.0  0.0    0.0    8192.0   1599.3   79608.0    47763.0   20224.0 19522.7 2816.0 2632.4     78    0.280  257    19.308   19.588
1024.0 1024.0  0.0    0.0    8192.0   3006.7   79608.0    47763.0   20224.0 19522.7 2816.0 2632.4     78    0.280  257    19.308   19.588
1024.0 1024.0  0.0    0.0    8192.0   5527.0   79608.0    47763.0   20224.0 19522.7 2816.0 2632.4     78    0.280  257    19.308   19.588
1024.0 1024.0  0.0    0.0    8192.0   6560.6   79608.0    47763.0   20224.0 19522.7 2816.0 2632.4     78    0.280  257    19.308   19.588
1024.0 1024.0  0.0    0.0    8192.0   8192.0   79608.0    47763.0   20224.0 19522.7 2816.0 2632.4     79    0.280  257    19.308   19.588
1024.0 1024.0  0.0   301.0   8192.0   1545.1   79608.0    47763.0   20224.0 19523.2 2816.0 2632.4     79    0.286  257    19.308   19.593
1024.0 1024.0  0.0   301.0   8192.0   1737.7   79608.0    47763.0   20224.0 19523.2 2816.0 2632.4     79    0.286  257    19.308   19.593
1024.0 1024.0  0.0    0.0    8192.0   156.4    80216.0    48128.4   20224.0 19523.2 2816.0 2632.4     79    0.286  258    19.423   19.709
1024.0 1024.0  0.0    0.0    8192.0   347.5    82848.0    49707.3   20224.0 19533.3 2816.0 2633.5     80    0.291  259    19.543   19.834
1024.0 1024.0  0.0    0.0    8192.0   692.1    82848.0    46260.9   20224.0 19533.3 2816.0 2633.5     80    0.291  260    19.674   19.965
1024.0 1024.0  0.0    0.0    8192.0   1340.8   82848.0    46298.8   20224.0 19533.3 2816.0 2633.5     80    0.291  261    19.788   20.079
1024.0 1024.0  0.0    0.0    8192.0   2854.2   82848.0    46298.8   20224.0 19533.3 2816.0 2633.5     80    0.291  261    19.788   20.079
1024.0 1024.0  0.0    0.0    8192.0   1018.5   82848.0    46594.4   20224.0 19533.3 2816.0 2633.5     80    0.291  262    19.901   20.192
1024.0 1024.0  0.0    0.0    8192.0   622.3    82848.0    47222.4   20224.0 19533.3 2816.0 2633.5     80    0.291  263    20.009   20.301
1024.0 1024.0  0.0    0.0    8192.0   1793.0   82848.0    47222.4   20224.0 19533.3 2816.0 2633.5     80    0.291  263    20.009   20.301
1024.0 1024.0  0.0    0.0    8192.0   3642.0   82848.0    47222.4   20224.0 19533.3 2816.0 2633.5     80    0.291  263    20.009   20.301
1024.0 1024.0  0.0    0.0    8192.0   4951.1   82848.0    47222.4   20224.0 19533.3 2816.0 2633.5     80    0.291  263    20.009   20.301
1024.0 1024.0  0.0    0.0    8192.0   6235.2   82848.0    47222.4   20224.0 19533.3 2816.0 2633.5     80    0.291  263    20.009   20.301
1024.0 1024.0  0.0    0.0    8192.0   7483.4   82848.0    47222.4   20224.0 19533.3 2816.0 2633.5     80    0.291  263    20.009   20.301
1024.0 1024.0  0.0    0.0    8192.0   1818.4   82848.0    46759.7   20224.0 19533.3 2816.0 2633.5     80    0.291  264    20.139   20.430
1024.0 1024.0  0.0    0.0    8192.0   3569.5   82848.0    46759.7   20224.0 19533.3 2816.0 2633.5     80    0.291  264    20.139   20.430
1024.0 1024.0  0.0    0.0    8192.0   1238.3   82848.0    46818.4   20224.0 19533.3 2816.0 2633.5     80    0.291  265    20.260   20.551
1024.0 1024.0  0.0    0.0    8192.0   753.8    82848.0    47571.8   20224.0 19533.3 2816.0 2633.5     80    0.291  266    20.373   20.664
1024.0 1024.0  0.0    0.0    8192.0   2038.5   82848.0    47571.8   20224.0 19533.3 2816.0 2633.5     80    0.291  266    20.373   20.664
1024.0 1024.0  0.0    0.0    8192.0   3419.4   82848.0    47571.8   20224.0 19533.3 2816.0 2633.5     80    0.291  266    20.373   20.664
1024.0 1024.0  0.0    0.0    8192.0   5199.5   82848.0    47571.8   20224.0 19533.3 2816.0 2633.5     80    0.291  266    20.373   20.664
1024.0 1024.0  0.0    0.0    8192.0   6492.7   82848.0    47571.8   20224.0 19533.3 2816.0 2633.5     80    0.291  266    20.373   20.664
1024.0 1024.0  0.0    0.0    8192.0   7797.3   82848.0    47571.8   20224.0 19533.3 2816.0 2633.5     80    0.291  266    20.373   20.664
1024.0 1024.0  0.0    0.0    8192.0   1959.0   82848.0    47785.5   20224.0 19533.3 2816.0 2633.5     80    0.291  267    20.488   20.779
1024.0 1024.0  0.0    0.0    8192.0   4227.3   82848.0    47785.5   20224.0 19533.3 2816.0 2633.5     80    0.291  267    20.488   20.779
1024.0 1024.0  0.0    0.0    8192.0   5683.2   82848.0    47785.5   20224.0 19533.3 2816.0 2633.5     80    0.291  267    20.488   20.779
1024.0 1024.0  0.0    0.0    8192.0   1710.2   82848.0    47844.9   20224.0 19533.3 2816.0 2633.5     80    0.291  268    20.605   20.896
1024.0 1024.0  0.0    0.0    8192.0   1762.9   82848.0    48463.9   20224.0 19533.3 2816.0 2633.5     80    0.291  269    20.724   21.016
1024.0 1024.0  0.0    0.0    8192.0   3108.7   82848.0    48463.9   20224.0 19533.3 2816.0 2633.5     80    0.291  269    20.724   21.016
1024.0 1024.0  0.0    0.0    8192.0   4316.9   82848.0    48463.9   20224.0 19533.3 2816.0 2633.5     80    0.291  269    20.724   21.016
1024.0 1024.0  0.0    0.0    8192.0   6098.4   82848.0    48463.9   20224.0 19533.3 2816.0 2633.5     80    0.291  269    20.724   21.016
1024.0 1024.0  0.0    0.0    8192.0   7524.5   82848.0    48463.9   20224.0 19533.3 2816.0 2633.5     80    0.291  269    20.724   21.016
1024.0 1024.0  0.0    0.0    8192.0   879.3    82848.0    48816.5   20224.0 19533.3 2816.0 2633.5     81    0.293  270    20.853   21.146
1024.0 1024.0  0.0    0.0    8192.0   3436.5   82848.0    48816.5   20224.0 19533.3 2816.0 2633.5     81    0.293  270    20.853   21.146
1024.0 1024.0  0.0    0.0    8192.0   5240.0   82848.0    48816.5   20224.0 19533.3 2816.0 2633.5     81    0.293  270    20.853   21.146
